cliente_id,tipo_suscripcion,pago_mensual,estado_suscripcion
4093,Pro,10.65,Activa
1005,Pro,89.07,
4246,Pro,50.49,Activa
595,Básica,75.05,Cancelada
1472,Básica,6.39,Cancelada
2848,Pro,,Cancelada
2834,Pro,35.94,Cancelada
2623,Pro,7.88,Cancelada
4660,Premium,78.69,Activa
4276,Premium,,Cancelada
3930,Básica,,Cancelada
379,Premium,81.55,Cancelada
274,Pro,47.46,Activa
1881,Pro,,Activa
3149,Básica,94.72,Cancelada
139,Básica,29.29,Activa
2382,Premium,83.9,Activa
1470,Pro,82.56,Activa
4957,Básica,20.43,Activa
3780,Básica,50.03,Cancelada
536,Premium,8.82,Cancelada
703,Básica,38.68,Activa
2258,Premium,74.44,Activa
1674,Pro,27.52,Activa
4068,Premium,16.13,Activa
1576,Básica,53.18,Activa
2572,Premium,56.01,Activa
3150,Premium,69.2,Cancelada
117,Pro,77.12,Activa
915,Premium,71.1,Cancelada
1025,Básica,85.31,Cancelada
1735,Básica,26.18,Cancelada
544,Pro,59.13,Activa
3515,Pro,39.21,Activa
496,Pro,96.4,Cancelada
1732,Básica,46.83,Cancelada
2278,Premium,96.17,Activa
2874,Básica,78.06,Activa
2192,Básica,73.25,Activa
2167,Pro,51.7,Activa
3067,Pro,47.12,
1815,Premium,55.02,Cancelada
401,Premium,32.9,Activa
1001,,90.93,Cancelada
4132,Premium,80.46,Cancelada
230,Básica,81.13,Cancelada
4395,Premium,46.15,Cancelada
1348,Básica,11.75,Activa
4332,Básica,69.89,Cancelada
4925,Premium,40.57,Cancelada
655,Premium,87.69,
4530,Básica,79.13,Activa
2219,Pro,18.81,Cancelada
1973,Premium,62.16,Activa
2280,Pro,70.76,Activa
3777,,58.97,Activa
4810,Pro,53.83,Activa
184,Básica,26.65,Activa
4041,Pro,27.41,Cancelada
471,Pro,77.96,Activa
68,Pro,6.78,Activa
1373,Básica,,Activa
14,Básica,55.05,Activa
1920,Básica,93.94,Cancelada
1058,Premium,99.75,Activa
3157,Básica,68.03,Cancelada
1162,Premium,44.16,Activa
4262,Básica,50.13,Cancelada
4854,Premium,24.4,Activa
4331,Pro,14.43,Activa
4116,Pro,59.98,Cancelada
330,Básica,81.52,Activa
1476,Premium,29.87,Cancelada
3460,Pro,44.87,Activa
264,Pro,57.7,Cancelada
3129,Premium,91.25,Cancelada
4961,,18.17,Activa
2305,Pro,27.5,Cancelada
2453,Básica,92.26,Activa
4906,Básica,8.76,Cancelada
4229,,67.33,Activa
897,Premium,65.75,Cancelada
1252,Pro,41.41,Cancelada
1063,Premium,49.48,Activa
4713,Pro,,Cancelada
528,Pro,20.67,Activa
1930,Pro,27.0,Activa
282,Básica,53.67,Activa
1000,Básica,43.93,Activa
145,Premium,59.57,
711,Premium,92.48,Activa
2908,Pro,92.12,Activa
2676,Pro,26.85,Activa
1716,Básica,33.7,Activa
4119,Básica,20.4,Activa
2086,Pro,93.14,Activa
112,Pro,42.8,Cancelada
1625,Premium,47.72,Activa
3245,Pro,81.25,Activa
520,Pro,53.73,Activa
1351,Pro,16.38,Cancelada
3367,Básica,46.6,Activa
2143,Básica,64.9,Activa
1676,Premium,73.32,Activa
4960,Premium,66.31,Cancelada
4511,Premium,16.32,Activa
1158,Pro,33.91,Cancelada
1785,Pro,74.69,Activa
3401,Básica,88.62,Activa
4423,Pro,,Cancelada
611,Pro,9.01,Cancelada
3275,Básica,66.12,Cancelada
4785,Premium,,Activa
4862,Pro,19.76,Cancelada
4051,Básica,57.09,Cancelada
3076,Básica,97.58,Activa
1028,Premium,64.94,Activa
827,Básica,47.67,Activa
4128,Premium,83.62,Cancelada
3499,Premium,25.22,Activa
1608,Premium,,
1803,Premium,,Cancelada
6,Premium,52.93,
1948,Básica,92.49,Activa
4583,Pro,32.8,Cancelada
2418,Premium,10.37,Cancelada
1279,Premium,92.06,Cancelada
4536,Pro,25.62,Cancelada
3525,Pro,41.01,Cancelada
3742,Premium,55.43,Activa
2889,Pro,97.71,Cancelada
3274,Premium,55.85,Cancelada
3828,Básica,47.54,Activa
3441,,60.45,Cancelada
2084,Pro,97.23,Cancelada
3545,Básica,82.7,Activa
2435,Pro,21.05,Activa
2946,Básica,81.31,Activa
3931,Premium,84.9,Activa
4072,Pro,70.62,Activa
4973,Pro,67.44,Activa
1526,Básica,46.88,Cancelada
4477,Premium,65.96,Activa
78,Premium,75.07,Activa
1090,Básica,16.67,Activa
2722,Pro,29.45,Activa
4981,Pro,23.44,Cancelada
1728,Básica,,Activa
4858,Básica,69.6,Cancelada
62,Básica,47.82,Cancelada
1903,Pro,83.48,Activa
2045,Básica,73.09,Cancelada
4857,Premium,91.79,Activa
2059,Básica,12.3,Cancelada
1274,Premium,53.37,Cancelada
1951,Premium,72.14,Cancelada
2878,Básica,24.71,Cancelada
709,Premium,36.08,Activa
1848,Pro,44.8,Cancelada
1617,Básica,80.46,Activa
3723,,51.89,Cancelada
309,Pro,51.82,Activa
3900,Premium,45.93,Cancelada
53,Pro,26.72,Activa
4997,Pro,92.69,Cancelada
854,Básica,35.19,Activa
2643,Básica,58.91,Activa
4876,Pro,,Cancelada
2824,Premium,46.25,Cancelada
2914,Premium,90.86,Cancelada
1046,Básica,99.57,Cancelada
622,Básica,39.37,Cancelada
1440,Básica,19.63,Activa
3750,Premium,34.87,Activa
4899,Básica,36.09,Cancelada
932,Pro,66.23,Cancelada
803,Premium,52.13,Cancelada
3665,Pro,,Cancelada
1044,Básica,71.62,Cancelada
2285,Premium,28.87,Activa
2684,Básica,79.5,Activa
4384,Premium,85.51,Activa
804,Básica,61.85,Cancelada
2598,Premium,93.13,Cancelada
2920,,79.38,
4252,Premium,61.56,Activa
74,Pro,91.09,Cancelada
844,Básica,62.03,Cancelada
4221,Básica,54.51,Cancelada
4584,Premium,38.84,Activa
2449,Pro,88.87,Activa
3220,Premium,16.66,Activa
1916,,49.98,Activa
325,Básica,56.05,Activa
2072,Premium,57.7,Activa
4457,Premium,66.93,Cancelada
2715,Premium,53.05,Cancelada
4519,Básica,29.4,Cancelada
429,Premium,86.41,Activa
4602,Premium,67.46,Activa
3122,Básica,86.53,Activa
1953,Premium,31.22,Activa
2913,Pro,65.52,Cancelada
1463,Básica,72.85,Cancelada
2117,Premium,41.42,Activa
4537,Premium,82.16,Activa
4901,Básica,5.24,Activa
132,Básica,61.52,Cancelada
3798,,63.29,Activa
4283,Premium,55.72,Cancelada
4235,Premium,64.85,Cancelada
3693,Premium,20.89,Activa
1449,Básica,70.05,Activa
1124,Básica,36.9,Activa
4749,Básica,47.95,Cancelada
4296,Premium,36.65,Cancelada
1211,Premium,50.02,
4563,Básica,64.05,Cancelada
3654,Pro,,Cancelada
4555,Premium,,Cancelada
670,Pro,35.71,Activa
1672,Básica,51.35,Activa
3979,Premium,70.44,Activa
2011,Pro,37.94,Cancelada
1039,Premium,,Activa
2531,Pro,58.47,Activa
1817,Premium,32.93,Activa
4148,Pro,24.86,Cancelada
4141,Pro,18.34,Activa
3331,Básica,38.5,Activa
181,Básica,9.59,Cancelada
4790,Pro,60.43,Activa
291,Premium,21.71,Activa
2148,Pro,40.85,Cancelada
1103,Premium,30.58,
3869,Premium,64.89,Cancelada
1882,Premium,85.78,Cancelada
2290,Premium,65.16,Activa
2236,Básica,56.54,Cancelada
3252,Pro,68.56,Activa
668,Premium,7.85,Activa
1016,Básica,16.67,Activa
1665,Premium,14.02,Activa
4962,Premium,14.33,Activa
2972,Básica,29.75,Cancelada
3634,Básica,55.54,Cancelada
102,Premium,15.89,Activa
3204,,93.84,Cancelada
3283,Básica,86.15,Activa
1934,Pro,,Activa
1683,Premium,9.04,Activa
1926,Premium,85.88,Activa
785,Premium,81.35,Cancelada
1141,Premium,90.7,Activa
2868,,55.15,Activa
3425,Premium,79.85,Activa
833,Pro,9.87,Activa
1078,Básica,12.21,Cancelada
775,,16.26,Activa
1294,Básica,91.9,Cancelada
440,Pro,,Cancelada
2741,Premium,14.51,Cancelada
4672,,93.39,Cancelada
1355,Básica,15.2,Activa
3321,Básica,,Cancelada
1669,Básica,79.98,Cancelada
3845,Premium,8.83,Cancelada
1497,Básica,7.08,Cancelada
3537,Básica,55.77,Cancelada
1946,Pro,99.73,Activa
4580,Premium,88.49,Activa
4986,Premium,34.45,Cancelada
4180,Premium,41.7,Cancelada
795,Básica,41.85,Activa
996,Pro,74.75,Cancelada
250,,37.41,
3345,,19.04,Cancelada
3720,Básica,75.98,Cancelada
2422,Premium,48.51,Activa
2358,Básica,12.29,Cancelada
3683,Básica,80.05,Cancelada
1671,Premium,60.6,Activa
4714,Básica,51.49,Cancelada
3002,Premium,,Activa
2501,Básica,53.01,Cancelada
1175,Básica,66.6,Activa
660,,87.41,Cancelada
4062,Premium,63.28,Activa
1099,Básica,67.66,Activa
4475,Básica,63.32,Activa
535,,55.46,Cancelada
4846,Pro,21.34,Cancelada
321,Premium,36.89,Activa
3945,Premium,70.85,Cancelada
1241,Premium,45.42,Activa
16,,,Cancelada
4029,Básica,77.13,Activa
2677,Básica,5.53,Cancelada
514,Premium,69.5,Cancelada
809,Premium,51.48,Cancelada
1563,Pro,40.79,Cancelada
327,Premium,37.35,Cancelada
3860,Pro,21.42,Cancelada
3823,Premium,36.75,Cancelada
2497,Premium,42.18,Cancelada
4134,Básica,46.56,Activa
1238,Premium,68.87,Activa
2132,Pro,48.09,Activa
3806,Básica,80.65,Cancelada
3510,Pro,65.78,Cancelada
3829,Premium,23.01,Activa
4736,Básica,31.33,Activa
159,Pro,12.53,Activa
3426,Premium,94.84,Activa
1738,Pro,89.22,Activa
455,Premium,13.06,Activa
3606,Pro,59.54,Activa
4731,Premium,96.24,Activa
2370,Pro,75.98,Activa
4805,Básica,51.72,Activa
423,Premium,27.9,Cancelada
2927,Premium,31.51,Cancelada
2672,Pro,74.94,Cancelada
1244,Premium,79.15,Activa
1458,Básica,55.23,Activa
759,Pro,16.49,Cancelada
390,Pro,93.72,Cancelada
3793,Pro,85.25,Activa
1451,Básica,18.35,Cancelada
4913,Básica,10.39,Cancelada
4437,Premium,55.91,Cancelada
1947,Pro,31.99,Cancelada
1254,Básica,31.91,Cancelada
2706,Premium,13.29,Cancelada
3250,Básica,95.57,Cancelada
939,Básica,83.87,Cancelada
1925,Básica,15.81,Cancelada
866,Premium,88.28,Activa
1268,,69.88,Cancelada
2644,Básica,35.92,Activa
3454,Básica,87.77,Activa
4721,Pro,61.81,Activa
3675,Básica,85.62,Cancelada
3880,Pro,49.58,Cancelada
1614,Básica,52.56,Cancelada
4782,,32.65,Cancelada
4843,Básica,41.83,Cancelada
3564,,58.94,Cancelada
1982,,94.97,Cancelada
2038,Pro,62.01,Cancelada
3095,Básica,,Cancelada
1967,,5.66,Activa
648,,85.84,Cancelada
2008,Pro,39.61,Cancelada
3651,Pro,34.92,Cancelada
2054,Pro,81.07,Activa
2662,Pro,,Cancelada
2538,Premium,76.06,Cancelada
2779,Básica,21.52,Activa
527,Premium,42.18,Cancelada
3291,Básica,77.14,
2614,Premium,91.16,Activa
4700,Básica,99.87,Cancelada
4456,Pro,53.6,Cancelada
512,Básica,83.14,Activa
4835,,9.43,Cancelada
3047,Pro,32.15,Activa
1736,Pro,40.29,Cancelada
2542,Básica,97.67,Activa
2114,Básica,5.32,Cancelada
2044,Pro,34.26,Activa
197,Premium,93.39,Activa
1171,Pro,34.13,Activa
3392,Básica,26.38,Cancelada
1602,Básica,74.36,Activa
4754,Básica,75.81,Cancelada
967,Pro,49.86,Cancelada
2408,Pro,94.96,Activa
4741,,24.26,Activa
1555,Básica,91.77,Cancelada
3873,Básica,76.77,Activa
1125,Pro,39.98,Activa
4726,Básica,81.66,Cancelada
3637,Premium,17.65,Activa
4156,Pro,17.44,Cancelada
1335,Básica,93.34,Activa
3421,Pro,14.0,Activa
974,Pro,5.39,Cancelada
2664,Premium,41.96,Activa
3012,Pro,14.87,Cancelada
1566,Básica,86.99,Activa
1968,Premium,92.66,Activa
3026,Pro,50.83,Cancelada
2183,Básica,45.42,Cancelada
3698,Pro,56.21,Cancelada
2292,Pro,26.49,Cancelada
1322,Premium,,Cancelada
2966,Premium,14.59,Activa
1289,,47.41,Cancelada
3633,Premium,63.11,
2780,Básica,93.37,Cancelada
3134,Pro,75.21,Cancelada
3759,Premium,73.69,
1984,Básica,34.26,Cancelada
947,Premium,89.39,Cancelada
4804,Pro,94.96,Activa
3784,Premium,93.56,Cancelada
893,Pro,8.69,Activa
619,Pro,62.41,Activa
3446,,66.11,Activa
2841,Premium,33.03,Activa
4022,Premium,99.28,Cancelada
2079,Pro,32.66,Cancelada
3396,Premium,25.58,Activa
4781,Pro,50.99,Cancelada
607,Básica,35.7,Activa
1315,Premium,,Activa
1705,Pro,46.81,Activa
3280,Premium,43.96,Activa
2835,Premium,64.46,Activa
4327,Básica,12.71,Cancelada
3966,Pro,76.89,Cancelada
1350,Básica,,Cancelada
2906,Básica,50.03,Cancelada
1417,Básica,95.79,Cancelada
941,Pro,60.04,Activa
3353,Pro,71.05,Cancelada
3988,Premium,92.81,Activa
58,Pro,68.3,Cancelada
3181,Básica,46.02,Activa
3616,Pro,7.35,Activa
4729,Premium,,Activa
4678,Básica,96.66,Activa
3370,Premium,49.67,Activa
1670,Pro,37.28,Activa
4472,Premium,54.33,Cancelada
741,,74.2,Cancelada
4734,Pro,5.07,Activa
1609,,89.29,Activa
1591,Pro,89.2,Cancelada
1662,Básica,56.42,Activa
1340,Premium,16.63,Cancelada
4558,Básica,68.82,Activa
767,Pro,18.1,Cancelada
1729,Pro,53.22,Activa
37,Premium,13.89,Cancelada
2998,Premium,60.96,Cancelada
3340,Pro,35.22,Cancelada
2969,Pro,83.94,Activa
1590,Básica,80.99,
3084,Básica,99.86,Cancelada
3164,Premium,,Activa
751,,10.87,Activa
1734,Premium,47.09,Activa
2925,Premium,12.92,Cancelada
4013,Premium,21.96,Activa
2957,Premium,61.74,Cancelada
1047,,61.25,Cancelada
2090,Premium,9.12,Cancelada
3936,Básica,47.08,Cancelada
3071,Pro,55.37,Cancelada
762,Pro,30.46,Activa
4830,Premium,87.84,
3440,Pro,20.3,Activa
4422,Premium,29.12,Activa
3074,Básica,19.91,Activa
1521,Premium,16.07,Activa
1041,,88.5,Activa
4645,Básica,31.4,Cancelada
2359,Básica,73.64,Cancelada
2245,Premium,45.66,Cancelada
3909,Básica,65.41,Cancelada
142,Premium,93.18,Cancelada
345,Básica,85.24,Activa
2063,,11.55,Activa
1966,Pro,85.29,Activa
1074,,47.92,Cancelada
2374,Pro,38.26,Activa
3195,Básica,68.88,Cancelada
1287,,95.27,Cancelada
4897,Básica,13.94,Activa
4037,Pro,77.97,Cancelada
140,Pro,24.33,Cancelada
4902,Premium,41.11,Activa
2271,Premium,88.01,Activa
3766,Pro,56.85,Activa
3243,Pro,11.41,Activa
3,Premium,53.26,Cancelada
1726,Básica,80.02,Activa
1637,,55.24,Activa
3244,Básica,20.85,Activa
4838,Básica,47.28,Activa
2311,Pro,92.81,Cancelada
3305,Básica,67.53,Cancelada
3565,,74.34,Cancelada
2615,Pro,79.66,Activa
4266,Básica,13.62,Activa
563,Básica,60.25,Cancelada
2239,Básica,40.71,Cancelada
1439,Premium,18.22,Activa
3306,Pro,24.26,Cancelada
1292,,79.21,Activa
2254,Premium,20.34,Activa
3176,,34.68,Cancelada
719,Pro,32.06,Cancelada
714,Pro,9.62,Activa
413,Básica,48.91,
222,Básica,77.76,Cancelada
3064,Pro,7.1,Cancelada
880,Pro,15.69,Cancelada
1280,Premium,73.42,Activa
4011,Premium,61.39,Cancelada
340,Pro,72.95,Cancelada
416,Premium,26.86,Cancelada
567,Pro,81.36,Activa
2210,Premium,50.59,Activa
1426,,62.98,Activa
1931,Básica,13.75,Activa
4851,Pro,24.48,Activa
1120,Básica,78.47,Cancelada
2432,Pro,26.27,Activa
3106,Básica,13.79,Cancelada
60,Premium,61.73,Activa
3690,Básica,57.05,Activa
1795,Premium,62.75,Activa
2334,Pro,63.74,Cancelada
2896,Premium,52.52,Activa
4476,Premium,51.91,Cancelada
2656,,,Cancelada
210,Pro,55.72,Activa
2845,Básica,63.64,Cancelada
750,Premium,30.36,Cancelada
2635,Pro,87.75,Activa
4061,Premium,7.31,Cancelada
4613,Básica,57.94,Activa
4855,Premium,41.47,Activa
1626,Premium,62.37,Cancelada
3467,Premium,39.22,Cancelada
4578,Básica,73.18,Cancelada
1928,Básica,6.93,Cancelada
359,Pro,43.56,Activa
3795,Premium,83.97,Activa
1131,Premium,28.77,Cancelada
3830,Premium,10.01,Activa
3663,Premium,52.17,Cancelada
4892,Básica,97.77,Activa
4920,Básica,11.1,Cancelada
2934,Premium,11.66,Cancelada
3025,Premium,61.54,Cancelada
2962,Premium,28.76,Cancelada
4725,Premium,43.97,Activa
4609,Pro,83.9,Activa
1437,Pro,23.89,Cancelada
3878,Premium,73.33,Cancelada
1906,Premium,52.93,Activa
1186,Premium,90.97,Cancelada
3871,Pro,97.43,
511,Básica,51.07,Cancelada
2470,Pro,60.54,Cancelada
885,Pro,75.86,Activa
4027,Premium,35.27,Activa
3094,Premium,26.54,Activa
4598,Básica,96.65,Activa
3253,Premium,46.1,Cancelada
4581,Premium,5.15,Cancelada
4386,,84.58,Activa
3408,Premium,61.97,Activa
4569,Premium,21.01,Cancelada
1944,Premium,7.86,
983,,32.69,Cancelada
3236,Premium,93.15,Activa
2563,Pro,93.68,Activa
310,Premium,34.55,Cancelada
1409,,84.41,Activa
600,Pro,46.98,Cancelada
663,,67.16,Cancelada
174,Premium,36.77,Activa
1859,Básica,54.02,Cancelada
1454,Premium,32.91,Activa
4205,Pro,10.81,Cancelada
916,Premium,18.24,Cancelada
1122,Premium,32.61,Activa
2888,Pro,97.74,Cancelada
680,Básica,96.74,Cancelada
706,Básica,83.63,Cancelada
3833,Pro,27.09,
518,,46.95,Cancelada
3282,Premium,46.78,Cancelada
3450,Pro,41.76,Cancelada
2021,Pro,9.26,Activa
1821,Premium,55.78,Cancelada
2971,Premium,11.92,Activa
2593,Premium,,Cancelada
3624,Básica,70.67,Activa
3859,Básica,,Cancelada
3096,Pro,66.48,Activa
4515,Premium,27.14,Cancelada
1639,Pro,30.2,Activa
3853,Pro,34.84,Cancelada
4150,Básica,80.72,Cancelada
1565,Básica,25.02,Cancelada
949,Pro,58.46,Cancelada
2511,Premium,24.04,Cancelada
2441,Básica,32.08,Cancelada
4451,Básica,27.37,Cancelada
252,Básica,66.28,Activa
115,Pro,55.04,Activa
3582,Básica,73.52,Cancelada
3098,Premium,25.89,Activa
2126,Básica,5.87,Activa
2094,Pro,69.65,Cancelada
4759,Pro,15.91,Activa
168,Pro,28.4,Cancelada
2233,Pro,34.04,Cancelada
849,Premium,75.95,Cancelada
1865,,64.46,Activa
1404,Básica,22.51,Cancelada
1387,Premium,61.8,Activa
378,Pro,72.27,Cancelada
994,Pro,41.95,Cancelada
4186,Premium,28.37,Activa
935,Básica,69.5,Cancelada
3011,Premium,63.03,Cancelada
2815,Básica,12.4,Cancelada
3687,,68.33,Activa
3834,Pro,51.41,Cancelada
2312,Premium,76.57,Activa
1895,,23.12,Cancelada
2953,Pro,29.53,Activa
2197,Pro,56.61,Activa
4659,Básica,50.76,Cancelada
4751,Pro,41.7,Activa
3194,Premium,75.87,Cancelada
641,Pro,58.65,Cancelada
3655,Pro,72.48,Cancelada
1378,Pro,19.56,Activa
120,Pro,74.25,Activa
886,Pro,48.85,Activa
1826,Básica,8.21,Cancelada
2657,Pro,27.28,Cancelada
1534,Pro,7.45,Cancelada
3057,Premium,48.4,Cancelada
4972,Pro,35.96,Activa
3881,Premium,98.81,Activa
1635,Premium,,Activa
361,Premium,83.44,Activa
92,Premium,52.61,Activa
4763,,81.67,
4783,Básica,30.35,Activa
1986,Premium,58.26,Activa
4604,Básica,42.33,Cancelada
1842,Básica,21.28,Cancelada
1791,Pro,11.9,Activa
1218,Básica,,Activa
40,Premium,14.28,Activa
2698,Premium,73.21,Cancelada
4831,Premium,92.54,Activa
2116,,20.4,Activa
1689,Pro,,Activa
4921,Básica,75.18,Activa
2459,Premium,32.25,Activa
4399,Pro,92.47,Activa
4158,Premium,89.4,Cancelada
2929,Básica,14.86,Cancelada
242,Pro,7.6,Cancelada
75,Básica,97.76,
4169,Pro,95.87,Cancelada
375,Premium,45.12,Cancelada
3318,Premium,9.8,Activa
454,,63.79,Cancelada
1391,Básica,32.87,Activa
4370,Pro,93.99,Cancelada
3842,Básica,80.49,
2549,Básica,66.71,Cancelada
216,Premium,32.03,Activa
2251,Premium,71.62,Cancelada
601,Premium,32.47,Cancelada
3837,Premium,8.57,Activa
3168,Premium,53.3,Cancelada
2595,Premium,51.43,Cancelada
4691,Premium,77.49,Cancelada
591,Pro,87.24,Activa
4411,Premium,38.67,Activa
1496,Premium,47.7,Activa
2446,Premium,49.69,Activa
2514,,,Cancelada
1135,Premium,75.62,Activa
1181,Básica,54.6,Cancelada
4100,Básica,91.83,Cancelada
4375,Premium,66.78,Cancelada
1246,Premium,25.13,Cancelada
4642,Premium,20.66,Activa
10,Pro,40.38,Cancelada
1804,Premium,37.96,Cancelada
4833,Pro,43.68,Cancelada
1392,Pro,,Activa
1198,Premium,97.93,Cancelada
1572,Básica,18.84,Cancelada
2078,,67.0,Cancelada
4733,Premium,6.24,Cancelada
1374,Básica,43.66,Cancelada
872,Básica,34.37,Activa
157,Premium,41.29,Activa
755,Premium,52.32,Cancelada
3694,Pro,,Cancelada
4945,Básica,60.43,Cancelada
