cliente_id,edad,pais,fecha_registro
99,,Chile,2024-04-01
100,37.0,Argentina,2021-04-11
101,,Argentina,2021-11-23
102,40.0,México,2021-11-23
103,24.0,México,2024-03-24
104,26.0,Colombia,2021-01-10
105,18.0,Chile,2021-12-19
106,43.0,,2021-07-02
107,55.0,Perú,2022-03-31
108,55.0,México,2021-01-06
109,61.0,Argentina,2021-07-30
110,,Argentina,2021-02-20
111,61.0,Colombia,2023-10-07
112,27.0,Argentina,2022-01-12
113,23.0,Chile,2022-10-02
114,34.0,Chile,2023-02-09
115,68.0,México,2023-12-11
116,67.0,Colombia,2021-06-03
117,55.0,Argentina,2022-08-05
118,41.0,,2023-02-27
119,68.0,Perú,2023-03-02
120,27.0,,2021-05-14
121,25.0,Argentina,2021-08-08
122,38.0,,2021-06-12
123,23.0,Argentina,2023-08-29
124,38.0,Chile,2022-10-10
125,56.0,Argentina,2022-07-23
126,41.0,Perú,2023-08-04
127,50.0,Argentina,2022-11-20
128,35.0,Colombia,2021-04-25
129,,Perú,2024-03-18
130,69.0,Colombia,2021-05-03
131,49.0,Perú,2023-03-15
132,29.0,México,2023-04-19
133,65.0,Perú,2023-12-29
134,59.0,Perú,2023-04-06
135,44.0,Colombia,2021-03-04
136,27.0,Colombia,2023-01-03
137,63.0,Perú,2023-11-06
138,69.0,Perú,2022-08-13
139,59.0,,2023-08-06
140,49.0,México,2021-08-05
141,59.0,México,2022-04-24
142,43.0,Argentina,2024-02-12
143,42.0,Perú,2023-09-04
144,28.0,Perú,2021-08-25
145,40.0,Perú,2022-04-21
146,,Perú,2022-08-21
147,69.0,,2021-05-09
148,57.0,Colombia,2022-05-25
149,,Chile,2021-06-14
150,46.0,Colombia,2021-10-04
151,48.0,Colombia,2021-09-14
152,24.0,,2024-03-01
153,57.0,Chile,2023-09-19
154,50.0,Perú,2022-07-24
155,38.0,México,2021-05-21
156,19.0,México,2022-11-17
157,35.0,Chile,2022-11-18
158,64.0,Argentina,2022-12-17
159,50.0,México,2023-10-20
160,54.0,Colombia,2023-12-11
161,51.0,Colombia,2021-06-27
162,37.0,Perú,2023-07-11
163,52.0,México,2022-06-27
164,68.0,Perú,2023-08-21
165,,México,2021-12-30
166,35.0,Chile,2023-12-15
167,63.0,México,2024-03-25
168,41.0,Argentina,2023-12-04
169,,Colombia,2022-08-16
170,47.0,Chile,2022-06-26
171,61.0,Colombia,2021-11-18
172,,Perú,2022-10-10
173,40.0,Chile,2021-01-14
174,69.0,Argentina,2022-09-10
175,66.0,Colombia,2021-12-25
176,28.0,México,2024-01-04
177,19.0,México,2021-07-13
178,43.0,México,2021-12-29
179,53.0,Chile,2024-01-25
180,50.0,Argentina,2023-11-30
181,64.0,Argentina,2023-02-07
182,30.0,,2022-02-01
183,57.0,Colombia,2021-04-17
184,42.0,Chile,2023-11-07
185,21.0,México,2022-06-11
186,59.0,Colombia,2023-10-08
187,36.0,Argentina,2023-02-23
188,35.0,México,2022-06-09
189,54.0,Chile,2023-12-03
190,47.0,Perú,2022-09-18
191,,Argentina,2021-12-16
192,40.0,,2023-11-20
193,33.0,Argentina,2023-10-03
194,18.0,Argentina,2022-06-26
195,29.0,México,2023-08-20
196,41.0,Chile,2021-04-04
197,51.0,Colombia,2023-06-18
198,25.0,México,2021-03-30
199,35.0,Chile,2022-05-18
200,65.0,Colombia,2023-02-06
201,22.0,Argentina,2021-08-02
202,,Chile,2022-06-10
203,47.0,,2021-07-11
204,30.0,Chile,2022-11-25
205,36.0,,2022-10-04
206,,Argentina,2022-07-09
207,20.0,Argentina,2022-01-22
208,43.0,Argentina,2022-11-12
209,,México,2023-02-15
210,29.0,Colombia,2021-07-22
211,19.0,Argentina,2023-10-07
212,28.0,,2022-03-23
213,61.0,México,2023-06-19
214,45.0,México,2023-12-28
215,35.0,Perú,2024-01-21
216,30.0,Chile,2023-02-17
217,54.0,Argentina,2021-06-27
218,39.0,Chile,2023-04-09
219,29.0,,2022-07-13
220,19.0,México,2023-10-24
221,54.0,Perú,2021-04-13
222,24.0,Colombia,2021-04-26
223,,México,2023-05-09
224,43.0,Argentina,2022-04-09
225,41.0,Perú,2021-04-14
226,29.0,Colombia,2021-09-16
227,33.0,,2023-07-18
228,40.0,,2023-03-21
229,57.0,Colombia,2022-10-04
230,26.0,Chile,2023-03-18
231,49.0,Colombia,2023-10-20
232,32.0,,2022-07-14
233,54.0,Chile,2021-01-27
234,30.0,Chile,2022-05-23
235,22.0,Argentina,2022-06-11
236,28.0,Chile,2023-02-14
237,27.0,México,2023-08-11
238,,,2021-10-25
239,30.0,Colombia,2023-02-16
240,58.0,Argentina,2021-12-27
241,63.0,México,2022-05-19
242,67.0,Chile,2022-08-11
243,32.0,Colombia,2021-01-30
244,59.0,,2021-05-06
245,,Colombia,2022-08-19
246,57.0,Colombia,2021-09-20
247,45.0,Perú,2023-07-25
248,49.0,Argentina,2023-05-22
249,52.0,Chile,2021-01-02
250,32.0,Chile,2022-01-29
251,65.0,Argentina,2021-11-02
252,53.0,,2024-03-15
253,38.0,Argentina,2022-06-14
254,23.0,Colombia,2022-06-12
255,18.0,Colombia,2023-08-23
256,21.0,Argentina,2022-11-02
257,28.0,Argentina,2021-12-18
258,61.0,Chile,2023-03-21
259,43.0,Chile,2021-07-28
260,,Perú,2023-08-16
261,40.0,Perú,2021-07-24
262,46.0,Colombia,2022-09-17
263,38.0,Perú,2022-12-22
264,65.0,,2022-09-28
265,62.0,México,2023-11-05
266,62.0,Argentina,2023-05-08
267,66.0,Chile,2022-04-21
268,44.0,Perú,2021-10-25
269,56.0,Chile,2022-07-11
270,57.0,Perú,2024-01-23
271,30.0,Perú,2021-04-17
272,40.0,Colombia,2021-05-08
273,33.0,México,2022-04-04
274,47.0,Argentina,2021-02-07
275,21.0,Argentina,2021-07-17
276,57.0,Colombia,2021-12-23
277,33.0,Colombia,2021-01-07
278,48.0,Argentina,2022-06-03
279,59.0,Argentina,2021-07-13
280,42.0,México,2021-11-12
281,61.0,Perú,2023-10-22
282,29.0,México,2023-12-22
283,43.0,Argentina,2021-12-09
284,,Perú,2022-08-24
285,65.0,Argentina,2023-11-08
286,,México,2022-09-12
287,45.0,,2023-04-02
288,26.0,México,2021-08-23
289,29.0,Perú,2023-12-29
290,22.0,Chile,2022-03-23
291,,,2022-09-02
292,,Argentina,2021-01-08
293,52.0,Perú,2022-04-07
294,22.0,Colombia,2023-09-27
295,51.0,Chile,2021-05-14
296,63.0,Perú,2022-01-20
297,51.0,Perú,2021-02-25
298,30.0,,2023-09-20
299,56.0,Perú,2024-02-12
300,,Perú,2024-01-17
301,,Chile,2021-05-18
302,65.0,México,2024-02-06
303,31.0,Argentina,2022-06-19
304,28.0,Colombia,2021-05-24
305,59.0,Argentina,2023-05-19
306,55.0,México,2022-10-18
307,21.0,México,2021-02-25
308,50.0,Perú,2022-09-12
309,24.0,Argentina,2023-10-27
310,58.0,México,2022-06-26
311,25.0,Argentina,2022-03-23
312,,México,2023-05-24
313,,Colombia,2022-10-01
314,27.0,México,2022-09-03
315,60.0,Argentina,2023-04-17
316,32.0,Perú,2023-02-19
317,55.0,Argentina,2023-04-17
318,32.0,Chile,2022-05-25
319,22.0,Argentina,2024-01-02
320,46.0,Colombia,2023-03-23
321,36.0,Colombia,2022-07-18
322,68.0,Colombia,2021-09-22
323,27.0,México,2021-01-10
324,29.0,Colombia,2021-10-29
325,21.0,Argentina,2023-03-16
326,48.0,Perú,2023-12-12
327,35.0,Colombia,2021-04-09
328,33.0,Argentina,2022-08-16
329,57.0,México,2023-11-03
330,53.0,México,2021-12-23
331,42.0,Perú,2023-07-17
332,40.0,Perú,2021-01-11
333,,Argentina,2021-03-22
334,51.0,Perú,2021-01-06
335,,Perú,2022-01-08
336,,México,2022-04-26
337,20.0,Argentina,2021-08-10
338,26.0,Perú,2024-01-10
339,35.0,Argentina,2022-05-30
340,,Colombia,2023-12-20
341,52.0,México,2021-08-09
342,51.0,México,2021-12-15
343,58.0,México,2021-08-16
344,31.0,Chile,2021-10-17
345,21.0,Argentina,2021-10-20
346,46.0,,2023-03-21
347,58.0,Perú,2023-08-14
348,,Colombia,2022-01-23
349,67.0,Argentina,2022-09-07
350,32.0,México,2022-01-01
351,45.0,Chile,2022-10-20
352,59.0,Argentina,2021-10-17
353,33.0,Argentina,2021-07-08
354,29.0,Perú,2023-07-07
355,,,2023-07-13
356,22.0,Colombia,2023-09-15
357,,Perú,2022-01-10
358,59.0,Chile,2023-01-30
359,18.0,México,2021-08-05
360,56.0,México,2023-12-02
361,49.0,Chile,2021-07-13
362,43.0,Perú,2021-06-12
363,34.0,,2021-10-03
364,65.0,Colombia,2021-12-30
365,44.0,Argentina,2023-02-14
366,41.0,Colombia,2022-04-25
367,52.0,Argentina,2022-11-20
368,63.0,Perú,2022-04-05
369,59.0,Perú,2022-06-23
370,,Chile,2023-09-01
371,43.0,Argentina,2021-03-26
372,,,2021-08-31
373,,Chile,2023-05-30
374,40.0,Chile,2024-02-28
375,,Perú,2022-10-19
376,21.0,Perú,2024-01-12
377,66.0,,2021-03-29
378,,Perú,2023-01-12
379,21.0,Perú,2023-09-12
380,24.0,Argentina,2022-04-16
381,40.0,Chile,2022-02-20
382,19.0,Argentina,2023-12-11
383,66.0,México,2022-11-13
384,41.0,Argentina,2023-12-23
385,57.0,México,2024-01-18
386,48.0,Argentina,2023-06-18
387,64.0,México,2022-08-24
388,48.0,México,2024-04-14
389,64.0,Argentina,2023-02-15
390,57.0,Perú,2023-06-20
391,65.0,Colombia,2022-04-28
392,68.0,Perú,2024-02-17
393,60.0,México,2021-06-18
394,51.0,Argentina,2021-05-27
395,41.0,Argentina,2022-03-15
396,66.0,Argentina,2023-06-07
397,43.0,Argentina,2021-06-09
398,33.0,Colombia,2023-03-25
399,64.0,Chile,2022-02-06
400,30.0,México,2022-08-09
401,32.0,Colombia,2023-05-14
402,44.0,Perú,2023-11-08
403,21.0,Chile,2021-05-20
404,33.0,Chile,2024-02-13
405,47.0,Argentina,2021-11-24
406,61.0,Colombia,2021-08-13
407,47.0,Perú,2022-07-12
408,,Argentina,2022-03-15
409,20.0,,2022-01-21
410,,México,2022-06-05
411,66.0,Chile,2022-09-12
412,39.0,Perú,2024-01-27
413,67.0,Chile,2023-02-26
414,67.0,Colombia,2023-12-31
415,66.0,México,2022-07-05
416,29.0,Argentina,2022-03-23
417,38.0,México,2024-01-19
418,21.0,Argentina,2021-04-17
419,48.0,México,2023-07-05
420,61.0,,2023-06-23
421,48.0,Chile,2022-06-28
422,40.0,Chile,2024-02-24
423,,Chile,2024-03-16
424,32.0,Chile,2021-10-07
425,,México,2021-01-24
426,45.0,Argentina,2023-08-10
427,33.0,Chile,2021-04-30
428,54.0,México,2023-05-05
429,38.0,Argentina,2023-10-13
430,32.0,México,2023-08-02
431,34.0,Chile,2024-01-11
432,67.0,Colombia,2022-03-24
433,54.0,México,2023-09-23
434,30.0,Chile,2023-11-14
435,,Perú,2023-12-21
436,47.0,Argentina,2021-03-25
437,,Chile,2021-08-13
438,35.0,Perú,2021-07-05
439,31.0,México,2022-01-10
440,,México,2021-03-13
441,,Perú,2021-03-15
442,37.0,Perú,2021-06-02
443,69.0,Argentina,2021-04-06
444,36.0,México,2022-03-21
445,62.0,Perú,2024-02-08
446,61.0,,2023-04-08
447,24.0,Colombia,2023-12-11
448,61.0,Perú,2022-01-12
449,21.0,Argentina,2023-02-04
450,,México,2024-01-02
451,19.0,Colombia,2021-07-31
452,22.0,Perú,2022-12-25
453,27.0,Perú,2024-04-06
454,49.0,Chile,2023-02-14
455,59.0,Perú,2021-11-27
456,58.0,Argentina,2023-01-21
457,,Colombia,2024-03-12
458,56.0,Chile,2023-04-04
459,,Colombia,2022-01-29
460,27.0,Colombia,2022-05-27
461,27.0,Argentina,2022-11-17
462,55.0,Perú,2022-09-13
463,44.0,Argentina,2022-08-27
464,68.0,Perú,2022-12-19
465,38.0,,2021-12-15
466,25.0,Argentina,2022-05-30
467,18.0,Argentina,2022-02-03
468,45.0,México,2021-08-02
469,66.0,Argentina,2022-07-16
470,56.0,México,2021-09-15
471,,,2022-11-25
472,38.0,Perú,2023-11-30
473,,Perú,2023-09-25
474,38.0,México,2023-03-31
475,66.0,Perú,2021-07-29
476,26.0,Colombia,2021-09-29
477,,Argentina,2024-03-05
478,22.0,México,2022-08-22
479,48.0,Perú,2023-12-20
480,69.0,Colombia,2023-11-05
481,57.0,Argentina,2023-10-20
482,55.0,Argentina,2021-09-12
483,60.0,Perú,2023-01-07
484,36.0,Colombia,2022-12-23
485,53.0,México,2022-06-19
486,67.0,Perú,2024-02-29
487,,Argentina,2023-10-21
488,30.0,Argentina,2021-01-17
489,31.0,Argentina,2023-06-01
490,50.0,Perú,2023-08-12
491,46.0,Chile,2023-04-06
492,60.0,Chile,2023-09-19
493,66.0,Chile,2023-05-28
494,53.0,Colombia,2021-07-04
495,61.0,Perú,2023-11-02
496,27.0,,2021-03-21
497,48.0,Colombia,2023-03-20
498,,Chile,2021-10-29
499,18.0,México,2021-05-13
500,24.0,Colombia,2023-10-26
501,44.0,Colombia,2023-01-26
502,38.0,Perú,2022-09-21
503,45.0,Colombia,2023-10-07
504,33.0,Perú,2023-02-12
505,63.0,México,2021-05-21
506,40.0,Argentina,2022-04-28
507,69.0,Argentina,2021-12-11
508,37.0,Chile,2024-02-06
509,55.0,Chile,2022-04-19
510,42.0,México,2024-01-11
511,45.0,Argentina,2024-01-13
512,22.0,Chile,2023-12-31
513,38.0,Colombia,2021-06-24
514,35.0,Perú,2023-04-22
515,,,2023-05-16
516,,México,2024-01-20
517,46.0,Argentina,2022-04-14
518,36.0,México,2022-10-06
519,50.0,,2022-11-12
520,18.0,Perú,2023-08-13
521,62.0,México,2023-04-29
522,20.0,Chile,2021-08-29
523,59.0,Chile,2022-12-03
524,38.0,Argentina,2021-12-06
525,52.0,Argentina,2023-03-04
526,58.0,Colombia,2023-01-14
527,57.0,Colombia,2022-04-08
528,20.0,Argentina,2023-03-12
529,,Colombia,2021-01-15
530,62.0,México,2023-12-01
531,55.0,,2021-07-27
532,62.0,Colombia,2023-12-20
533,37.0,Colombia,2021-12-31
534,69.0,México,2022-08-31
535,61.0,Perú,2021-06-09
536,62.0,Argentina,2022-02-01
537,51.0,México,2023-03-05
538,38.0,Perú,2022-05-15
539,65.0,México,2021-07-28
540,40.0,Chile,2024-03-02
541,23.0,México,2022-03-09
542,68.0,México,2022-09-01
543,30.0,Chile,2022-01-24
544,66.0,Argentina,2023-09-24
545,40.0,Perú,2022-08-06
546,26.0,Colombia,2022-03-08
547,34.0,Argentina,2021-12-17
548,19.0,México,2021-05-14
549,36.0,Colombia,2023-12-26
550,36.0,Chile,2022-10-01
551,24.0,Argentina,2021-04-27
552,59.0,Perú,2021-05-29
553,59.0,Argentina,2021-06-28
554,37.0,Argentina,2021-05-28
555,26.0,Colombia,2022-04-10
556,34.0,Chile,2023-09-03
557,44.0,Chile,2022-07-23
558,,,2023-10-26
559,19.0,Chile,2022-06-10
560,53.0,Colombia,2021-10-07
561,36.0,Colombia,2022-05-14
562,34.0,Perú,2023-04-16
563,22.0,Chile,2022-03-12
564,,,2023-03-27
565,35.0,México,2022-11-18
566,24.0,Colombia,2023-04-08
567,34.0,Argentina,2023-08-27
568,56.0,Colombia,2024-03-06
569,53.0,México,2022-09-04
570,57.0,Argentina,2022-08-18
571,62.0,Chile,2021-05-12
572,21.0,,2022-01-28
573,55.0,Colombia,2022-04-26
574,42.0,Argentina,2022-09-20
575,22.0,Argentina,2022-02-23
576,47.0,Perú,2022-10-14
577,29.0,México,2022-10-20
578,21.0,Chile,2022-04-07
579,41.0,Colombia,2021-06-01
580,46.0,Argentina,2021-08-10
581,26.0,Chile,2021-03-20
582,21.0,Colombia,2021-04-09
583,68.0,Chile,2023-07-01
584,41.0,Colombia,2021-08-01
585,31.0,Chile,2024-03-12
586,22.0,Perú,2022-12-03
587,,México,2023-12-12
588,59.0,Chile,2023-08-25
589,36.0,México,2021-05-15
590,29.0,Chile,2022-02-15
591,35.0,Argentina,2024-02-10
592,34.0,Perú,2023-02-24
593,47.0,Perú,2023-12-04
594,41.0,México,2021-09-18
595,28.0,Argentina,2023-01-13
596,52.0,Colombia,2022-06-29
597,40.0,Perú,2022-01-23
598,34.0,Argentina,2021-01-16
599,18.0,Argentina,2022-10-24
600,,México,2021-04-12
601,49.0,Argentina,2023-08-09
602,26.0,,2023-07-20
603,32.0,Colombia,2021-01-25
604,,México,2024-01-01
605,41.0,México,2021-01-18
606,52.0,Argentina,2022-07-24
607,39.0,Colombia,2023-10-14
608,44.0,Chile,2024-01-26
609,36.0,Perú,2023-04-11
610,62.0,México,2023-11-02
611,,Colombia,2023-11-01
612,37.0,Colombia,2021-06-12
613,18.0,Argentina,2023-05-22
614,,,2023-04-15
615,66.0,México,2023-05-07
616,62.0,Chile,2023-12-05
617,,Argentina,2023-08-28
618,27.0,México,2022-08-16
619,64.0,México,2021-09-12
620,49.0,,2021-03-08
621,56.0,Perú,2023-07-07
622,39.0,Chile,2022-09-06
623,35.0,Perú,2023-09-01
624,65.0,Colombia,2022-08-26
625,63.0,Chile,2023-12-02
626,49.0,Chile,2022-01-19
627,44.0,Argentina,2023-08-24
628,45.0,Chile,2022-04-30
629,,México,2021-02-08
630,56.0,Perú,2021-01-11
631,66.0,Perú,2022-09-16
632,46.0,Argentina,2022-02-13
633,35.0,,2021-04-18
634,61.0,Colombia,2024-01-23
635,25.0,México,2021-03-25
636,48.0,Argentina,2021-02-27
637,51.0,Chile,2023-11-06
638,24.0,Colombia,2023-09-18
639,53.0,Chile,2023-04-18
640,35.0,Argentina,2022-08-28
641,,Colombia,2023-08-27
642,26.0,Colombia,2021-06-14
643,26.0,Colombia,2022-03-13
644,63.0,Colombia,2022-12-28
645,25.0,Chile,2022-02-07
646,68.0,Colombia,2024-03-07
647,52.0,Chile,2022-12-17
648,35.0,,2023-03-25
649,22.0,Colombia,2022-12-23
650,31.0,Argentina,2022-06-15
651,,Chile,2021-10-20
652,47.0,Chile,2023-10-20
653,21.0,Perú,2022-04-07
654,56.0,Argentina,2024-03-31
655,37.0,Chile,2022-10-04
656,42.0,Argentina,2021-02-13
657,45.0,Argentina,2024-01-12
658,29.0,Argentina,2023-06-11
659,19.0,México,2022-09-28
660,60.0,Chile,2022-06-23
661,31.0,Argentina,2023-05-12
662,39.0,México,2022-06-03
663,48.0,México,2022-12-12
664,40.0,Colombia,2021-03-30
665,65.0,Colombia,2023-11-08
666,37.0,Chile,2022-11-04
667,55.0,Colombia,2023-05-14
668,21.0,Chile,2023-06-09
669,32.0,México,2022-02-26
670,41.0,México,2023-05-26
671,42.0,Chile,2022-12-03
672,18.0,Colombia,2021-12-04
673,,Colombia,2021-09-23
674,48.0,Chile,2023-03-14
675,29.0,Perú,2021-12-26
676,59.0,Colombia,2023-10-11
677,22.0,,2021-08-05
678,61.0,Colombia,2021-11-17
679,67.0,Perú,2023-04-30
680,59.0,México,2022-12-20
681,55.0,México,2023-09-19
682,29.0,México,2023-08-11
683,56.0,,2022-12-18
684,35.0,México,2023-09-12
685,19.0,Perú,2023-06-15
686,27.0,Perú,2024-03-22
687,32.0,Colombia,2021-10-14
688,47.0,Argentina,2023-01-27
689,61.0,Colombia,2022-05-11
690,34.0,México,2024-03-18
691,21.0,Colombia,2022-06-26
692,24.0,Perú,2022-09-27
693,58.0,Colombia,2023-07-28
694,48.0,Colombia,2023-11-19
695,68.0,Argentina,2022-11-29
696,56.0,Perú,2021-03-16
697,51.0,Chile,2022-05-13
698,23.0,Chile,2022-12-23
699,67.0,Perú,2021-11-04
700,55.0,,2022-12-05
701,62.0,México,2023-06-03
702,,Chile,2021-09-10
703,51.0,México,2023-07-25
704,61.0,Perú,2022-02-01
705,,Chile,2023-09-13
706,31.0,Chile,2023-11-19
707,23.0,México,2022-05-09
708,67.0,México,2023-08-17
709,54.0,Colombia,2024-03-23
710,67.0,Argentina,2023-09-19
711,49.0,Chile,2021-04-12
712,20.0,Argentina,2023-04-07
713,20.0,Argentina,2021-06-26
714,39.0,Chile,2023-09-11
715,39.0,México,2023-07-16
716,27.0,Colombia,2021-08-20
717,68.0,Perú,2021-01-12
718,20.0,Chile,2023-01-31
719,29.0,Chile,2023-07-21
720,46.0,Perú,2021-09-23
721,65.0,Argentina,2024-03-04
722,34.0,Colombia,2023-01-27
723,,Argentina,2023-11-21
724,30.0,Perú,2022-04-01
725,19.0,Perú,2021-09-16
726,21.0,Colombia,2024-02-02
727,27.0,Perú,2022-03-07
728,56.0,Perú,2022-04-14
729,41.0,Colombia,2022-10-09
730,34.0,Chile,2022-03-23
731,69.0,,2023-02-22
732,23.0,Chile,2024-01-18
733,36.0,Chile,2021-07-14
734,22.0,Argentina,2024-02-20
735,49.0,Chile,2022-04-07
736,27.0,Colombia,2024-02-14
737,26.0,Argentina,2021-07-15
738,44.0,México,2021-02-05
739,30.0,Chile,2021-03-08
740,36.0,Perú,2022-10-07
741,38.0,Argentina,2023-11-01
742,41.0,México,2021-11-18
743,55.0,Perú,2021-08-28
744,21.0,México,2023-10-14
745,41.0,Chile,2023-12-20
746,52.0,Perú,2022-10-12
747,20.0,Chile,2022-07-16
748,21.0,,2021-06-14
749,54.0,Argentina,2023-04-11
750,57.0,Colombia,2021-07-08
751,65.0,Colombia,2021-04-02
752,52.0,México,2021-10-16
753,48.0,Perú,2024-01-04
754,61.0,Chile,2023-12-13
755,42.0,Argentina,2021-06-24
756,57.0,Argentina,2022-04-19
757,30.0,Argentina,2021-09-27
758,21.0,Colombia,2022-02-11
759,63.0,Chile,2024-02-22
760,31.0,Argentina,2022-11-25
761,30.0,Argentina,2022-01-11
762,44.0,México,2021-07-01
763,23.0,,2021-02-05
764,34.0,Perú,2021-05-14
765,,Perú,2023-05-15
766,57.0,México,2023-07-13
767,66.0,Colombia,2022-11-21
768,52.0,México,2022-05-06
769,34.0,Argentina,2023-04-21
770,58.0,Chile,2023-09-15
771,19.0,Argentina,2023-04-19
772,30.0,Argentina,2023-12-06
773,69.0,Chile,2022-10-30
774,19.0,Perú,2023-10-17
775,69.0,,2022-03-08
776,45.0,Colombia,2023-01-18
777,60.0,Argentina,2023-04-08
778,43.0,Argentina,2022-06-01
779,39.0,,2022-04-07
780,64.0,México,2023-08-24
781,60.0,Argentina,2021-06-30
782,20.0,Colombia,2021-05-25
783,52.0,Argentina,2023-01-05
784,29.0,,2022-02-10
785,41.0,Perú,2023-03-24
786,22.0,Argentina,2023-08-27
787,37.0,Argentina,2023-08-13
788,56.0,Perú,2022-04-29
789,56.0,,2022-04-27
790,30.0,México,2021-12-05
791,58.0,México,2021-09-25
792,62.0,,2021-09-23
793,29.0,México,2022-06-12
794,30.0,Argentina,2024-01-21
795,,Argentina,2023-11-09
796,50.0,Colombia,2023-05-22
797,57.0,,2023-07-15
798,33.0,Perú,2024-01-24
799,62.0,Perú,2022-03-06
800,52.0,Chile,2023-03-06
801,20.0,Colombia,2023-07-30
802,22.0,Perú,2023-11-27
803,43.0,Chile,2021-10-30
804,28.0,,2022-02-05
805,24.0,Colombia,2023-04-03
806,27.0,Colombia,2021-12-10
807,59.0,Argentina,2023-05-13
808,69.0,México,2022-06-02
809,51.0,Colombia,2021-06-14
810,20.0,Chile,2023-11-03
811,25.0,Perú,2021-01-25
812,48.0,México,2024-02-21
813,28.0,,2021-05-09
814,62.0,Colombia,2023-03-28
815,24.0,Colombia,2023-10-15
816,62.0,Colombia,2022-08-18
817,19.0,Chile,2022-03-12
818,23.0,Argentina,2021-07-01
819,,Colombia,2022-09-08
820,49.0,Argentina,2023-01-14
821,37.0,Argentina,2021-02-12
822,,,2022-02-08
823,67.0,Perú,2022-08-28
824,33.0,Perú,2022-10-18
825,42.0,Chile,2021-09-20
826,29.0,Chile,2021-03-11
827,24.0,Perú,2022-10-23
828,56.0,Perú,2023-05-22
829,34.0,México,2023-04-02
830,62.0,México,2021-05-27
831,28.0,Perú,2021-01-25
832,23.0,Colombia,2024-02-07
833,40.0,Colombia,2022-11-24
834,44.0,,2021-09-08
835,63.0,Argentina,2022-04-27
836,23.0,Perú,2022-12-16
837,55.0,Chile,2023-03-27
838,19.0,,2022-11-13
839,39.0,Argentina,2021-06-24
840,37.0,Colombia,2024-04-08
841,,Argentina,2021-01-02
842,32.0,Perú,2022-10-01
843,66.0,Perú,2022-12-07
844,46.0,Perú,2021-12-28
845,25.0,México,2022-07-24
846,54.0,Argentina,2022-08-13
